index,mean energies,mean magnetisations
645,-299.786,0.999225
646,-299.786,0.999226
647,-299.787,0.999227
648,-299.787,0.999228
649,-299.787,0.99923
650,-299.788,0.999231
651,-299.788,0.999232
652,-299.788,0.999233
653,-299.789,0.999234
654,-299.789,0.999235
655,-299.789,0.999237
656,-299.79,0.999238
657,-299.79,0.999239
658,-299.79,0.99924
659,-299.791,0.999241
660,-299.791,0.999242
661,-299.791,0.999244
662,-299.792,0.999245
663,-299.792,0.999246
664,-299.792,0.999247
665,-299.792,0.999248
666,-299.793,0.999249
667,-299.793,0.99925
668,-299.793,0.999251
669,-299.794,0.999253
670,-299.794,0.999254
671,-299.794,0.999255
672,-299.795,0.999256
673,-299.795,0.999257
674,-299.795,0.999258
675,-299.796,0.999259
676,-299.796,0.99926
677,-299.796,0.999261
678,-299.796,0.999263
679,-299.797,0.999264
680,-299.797,0.999265
681,-299.797,0.999266
682,-299.798,0.999267
683,-299.798,0.999268
684,-299.798,0.999269
685,-299.799,0.99927
686,-299.799,0.999271
687,-299.799,0.999272
688,-299.799,0.999273
689,-299.8,0.999274
690,-299.8,0.999275
691,-299.8,0.999276
692,-299.801,0.999277
693,-299.801,0.999278
694,-299.801,0.99928
695,-299.801,0.999281
696,-299.802,0.999282
697,-299.802,0.999283
698,-299.802,0.999284
699,-299.803,0.999285
700,-299.803,0.999286
701,-299.803,0.999287
702,-299.803,0.999288
703,-299.804,0.999289
704,-299.804,0.99929
705,-299.804,0.999291
706,-299.805,0.999292
707,-299.805,0.999293
708,-299.805,0.999294
709,-299.805,0.999295
710,-299.806,0.999296
711,-299.806,0.999297
712,-299.806,0.999298
713,-299.806,0.999299
714,-299.807,0.9993
715,-299.807,0.999301
716,-299.807,0.999302
717,-299.808,0.999303
718,-299.808,0.999304
719,-299.808,0.999305
720,-299.808,0.999306
721,-299.809,0.999306
722,-299.809,0.999307
723,-299.809,0.999308
724,-299.809,0.999309
725,-299.81,0.99931
726,-299.81,0.999311
727,-299.81,0.999312
728,-299.81,0.999313
729,-299.811,0.999314
730,-299.811,0.999315
731,-299.798,0.999289
732,-299.798,0.99929
733,-299.798,0.999291
734,-299.798,0.999292
735,-299.799,0.999292
736,-299.799,0.999293
737,-299.799,0.999294
738,-299.799,0.999295
739,-299.8,0.999296
740,-299.8,0.999297
741,-299.8,0.999298
742,-299.801,0.999299
743,-299.801,0.9993
744,-299.801,0.999301
745,-299.801,0.999302
746,-299.802,0.999303
747,-299.802,0.999304
748,-299.802,0.999305
749,-299.802,0.999306
750,-299.803,0.999307
751,-299.803,0.999308
752,-299.803,0.999308
753,-299.803,0.999309
754,-299.804,0.99931
755,-299.804,0.999311
756,-299.804,0.999312
757,-299.805,0.999313
758,-299.805,0.999314
759,-299.805,0.999315
760,-299.805,0.999316
761,-299.806,0.999317
762,-299.806,0.999318
763,-299.806,0.999318
764,-299.806,0.999319
765,-299.807,0.99932
766,-299.807,0.999321
767,-299.807,0.999322
768,-299.807,0.999323
769,-299.808,0.999324
770,-299.808,0.999325
771,-299.808,0.999326
772,-299.808,0.999326
773,-299.809,0.999327
774,-299.809,0.999328
775,-299.809,0.999329
776,-299.809,0.99933
777,-299.81,0.999331
778,-299.81,0.999332
779,-299.81,0.999332
780,-299.81,0.999333
781,-299.81,0.999334
782,-299.811,0.999335
783,-299.811,0.999336
784,-299.811,0.999337
785,-299.811,0.999338
786,-299.812,0.999338
787,-299.812,0.999339
788,-299.812,0.99934
789,-299.812,0.999341
790,-299.813,0.999342
791,-299.813,0.999343
792,-299.813,0.999343
793,-299.813,0.999344
794,-299.814,0.999345
795,-299.814,0.999346
796,-299.814,0.999347
797,-299.814,0.999348
798,-299.815,0.999348
799,-299.815,0.999349
800,-299.815,0.99935
801,-299.815,0.999351
802,-299.815,0.999352
803,-299.816,0.999352
804,-299.816,0.999353
805,-299.816,0.999354
806,-299.816,0.999355
807,-299.817,0.999356
808,-299.817,0.999356
809,-299.817,0.999357
810,-299.817,0.999358
811,-299.818,0.999359
812,-299.818,0.99936
813,-299.818,0.99936
814,-299.818,0.999361
815,-299.818,0.999362
816,-299.819,0.999363
817,-299.819,0.999363
818,-299.819,0.999364
819,-299.819,0.999365
820,-299.82,0.999366
821,-299.82,0.999367
822,-299.82,0.999367
823,-299.82,0.999368
824,-299.82,0.999369
825,-299.821,0.99937
826,-299.821,0.99937
827,-299.821,0.999371
828,-299.821,0.999372
829,-299.821,0.999373
830,-299.822,0.999373
831,-299.822,0.999374
832,-299.822,0.999375
833,-299.822,0.999376
834,-299.823,0.999376
835,-299.823,0.999377
836,-299.823,0.999378
837,-299.823,0.999379
838,-299.823,0.999379
839,-299.824,0.99938
840,-299.824,0.999381
841,-299.824,0.999382
842,-299.824,0.999382
843,-299.824,0.999383
844,-299.825,0.999384
845,-299.825,0.999385
846,-299.825,0.999385
847,-299.825,0.999386
848,-299.825,0.999387
849,-299.826,0.999388
850,-299.826,0.999388
851,-299.826,0.999389
852,-299.826,0.99939
853,-299.827,0.99939
854,-299.827,0.999391
855,-299.827,0.999392
856,-299.827,0.999393
857,-299.827,0.999393
858,-299.828,0.999394
859,-299.828,0.999395
860,-299.828,0.999395
861,-299.828,0.999396
862,-299.828,0.999397
863,-299.828,0.999397
864,-299.829,0.999398
865,-299.829,0.999399
866,-299.829,0.9994
867,-299.829,0.9994
868,-299.829,0.999401
869,-299.83,0.999402
870,-299.83,0.999402
871,-299.83,0.999403
872,-299.83,0.999404
873,-299.83,0.999404
874,-299.831,0.999405
875,-299.831,0.999406
876,-299.831,0.999406
877,-299.831,0.999407
878,-299.831,0.999408
879,-299.832,0.999408
880,-299.832,0.999409
881,-299.832,0.99941
882,-299.832,0.99941
883,-299.832,0.999411
884,-299.833,0.999412
885,-299.833,0.999412
886,-299.833,0.999413
887,-299.833,0.999414
888,-299.833,0.999414
889,-299.834,0.999415
890,-299.834,0.999416
891,-299.834,0.999416
892,-299.834,0.999417
893,-299.834,0.999418
894,-299.834,0.999418
895,-299.835,0.999419
896,-299.835,0.99942
897,-299.835,0.99942
898,-299.835,0.999421
899,-299.835,0.999422
900,-299.836,0.999422
901,-299.836,0.999423
902,-299.836,0.999424
903,-299.836,0.999424
904,-299.836,0.999425
905,-299.836,0.999425
906,-299.837,0.999426
907,-299.837,0.999427
908,-299.837,0.999427
909,-299.837,0.999428
910,-299.837,0.999429
911,-299.838,0.999429
912,-299.838,0.99943
913,-299.838,0.99943
914,-299.838,0.999431
915,-299.838,0.999432
916,-299.838,0.999432
917,-299.839,0.999433
918,-299.839,0.999434
919,-299.839,0.999434
920,-299.828,0.999413
921,-299.828,0.999414
922,-299.829,0.999414
923,-299.829,0.999415
924,-299.829,0.999416
925,-299.829,0.999416
926,-299.829,0.999417
927,-299.83,0.999417
928,-299.83,0.999418
929,-299.83,0.999419
930,-299.83,0.999419
931,-299.83,0.99942
932,-299.83,0.999421
933,-299.831,0.999421
934,-299.831,0.999422
935,-299.831,0.999422
936,-299.831,0.999423
937,-299.831,0.999424
938,-299.832,0.999424
939,-299.832,0.999425
940,-299.832,0.999425
941,-299.832,0.999426
942,-299.832,0.999427
943,-299.832,0.999427
944,-299.833,0.999428
945,-299.833,0.999429
946,-299.833,0.999429
947,-299.833,0.99943
948,-299.833,0.99943
949,-299.833,0.999431
950,-299.834,0.999432
951,-299.834,0.999432
952,-299.834,0.999433
953,-299.834,0.999433
954,-299.834,0.999434
955,-299.835,0.999435
956,-299.835,0.999435
957,-299.835,0.999436
958,-299.835,0.999436
959,-299.835,0.999437
960,-299.835,0.999437
961,-299.836,0.999438
962,-299.836,0.999439
963,-299.836,0.999439
964,-299.836,0.99944
965,-299.836,0.99944
966,-299.836,0.999441
967,-299.837,0.999442
968,-299.837,0.999442
969,-299.837,0.999443
970,-299.837,0.999443
971,-299.837,0.999444
972,-299.837,0.999444
973,-299.838,0.999445
974,-299.838,0.999446
975,-299.838,0.999446
976,-299.838,0.999447
977,-299.838,0.999447
978,-299.838,0.999448
979,-299.839,0.999448
980,-299.839,0.999449
981,-299.839,0.999449
982,-299.839,0.99945
983,-299.839,0.999451
984,-299.839,0.999451
985,-299.84,0.999452
986,-299.84,0.999452
987,-299.84,0.999453
988,-299.84,0.999453
989,-299.84,0.999454
990,-299.84,0.999454
991,-299.841,0.999455
992,-299.841,0.999456
993,-299.841,0.999456
994,-299.841,0.999457
995,-299.841,0.999457
996,-299.841,0.999458
997,-299.842,0.999458
998,-299.842,0.999459
999,-299.842,0.999459
1000,-299.842,0.99946
1001,-299.842,0.999461
1002,-299.842,0.999461
1003,-299.842,0.999462
1004,-299.843,0.999462
1005,-299.843,0.999463
1006,-299.843,0.999463
1007,-299.843,0.999464
1008,-299.843,0.999464
1009,-299.843,0.999465
1010,-299.844,0.999465
1011,-299.844,0.999466
1012,-299.844,0.999466
1013,-299.844,0.999467
1014,-299.844,0.999467
1015,-299.844,0.999468
1016,-299.844,0.999468
1017,-299.845,0.999469
1018,-299.845,0.99947
1019,-299.845,0.99947
1020,-299.845,0.999471
1021,-299.845,0.999471
1022,-299.845,0.999472
1023,-299.846,0.999472
1024,-299.846,0.999473
1025,-299.846,0.999473
1026,-299.846,0.999474
1027,-299.846,0.999474
1028,-299.846,0.999475
1029,-299.846,0.999475
1030,-299.847,0.999476
1031,-299.847,0.999476
1032,-299.847,0.999477
1033,-299.847,0.999477
1034,-299.847,0.999478
1035,-299.847,0.999478
1036,-299.848,0.999479
1037,-299.848,0.999479
1038,-299.848,0.99948
1039,-299.848,0.99948
1040,-299.848,0.999481
1041,-299.848,0.999481
1042,-299.848,0.999482
1043,-299.849,0.999482
1044,-299.849,0.999483
1045,-299.849,0.999483
1046,-299.849,0.999484
1047,-299.849,0.999484
1048,-299.849,0.999485
1049,-299.849,0.999485
1050,-299.85,0.999486
1051,-299.85,0.999486
1052,-299.85,0.999487
1053,-299.85,0.999487
1054,-299.85,0.999488
1055,-299.85,0.999488
1056,-299.85,0.999489
1057,-299.851,0.999489
1058,-299.851,0.99949
1059,-299.851,0.99949
1060,-299.851,0.99949
1061,-299.851,0.999491
1062,-299.851,0.999492
1063,-299.851,0.999492
1064,-299.852,0.999492
1065,-299.852,0.999493
1066,-299.852,0.999493
1067,-299.852,0.999494
1068,-299.852,0.999494
1069,-299.852,0.999495
1070,-299.852,0.999495
1071,-299.852,0.999496
1072,-299.853,0.999496
1073,-299.853,0.999497
1074,-299.853,0.999497
1075,-299.853,0.999498
1076,-299.853,0.999498
1077,-299.853,0.999499
1078,-299.853,0.999499
1079,-299.854,0.999499
1080,-299.854,0.9995
1081,-299.854,0.9995
1082,-299.854,0.999501
1083,-299.854,0.999501
1084,-299.854,0.999502
1085,-299.854,0.999502
1086,-299.855,0.999503
1087,-299.855,0.999503
1088,-299.855,0.999504
1089,-299.855,0.999504
1090,-299.855,0.999505
1091,-299.855,0.999505
1092,-299.855,0.999505
1093,-299.855,0.999506
1094,-299.856,0.999506
1095,-299.856,0.999507
1096,-299.856,0.999507
1097,-299.856,0.999508
1098,-299.856,0.999508
1099,-299.856,0.999509
1100,-299.856,0.999509
1101,-299.857,0.99951
1102,-299.857,0.99951
1103,-299.857,0.99951
1104,-299.857,0.999511
1105,-299.857,0.999511
1106,-299.857,0.999512
1107,-299.857,0.999512
1108,-299.857,0.999513
1109,-299.858,0.999513
1110,-299.858,0.999514
1111,-299.858,0.999514
1112,-299.858,0.999514
1113,-299.858,0.999515
1114,-299.858,0.999515
1115,-299.858,0.999516
1116,-299.858,0.999516
1117,-299.859,0.999517
1118,-299.859,0.999517
1119,-299.859,0.999517
1120,-299.859,0.999518
1121,-299.859,0.999518
1122,-299.859,0.999519
1123,-299.859,0.999519
1124,-299.859,0.99952
1125,-299.86,0.99952
1126,-299.86,0.99952
1127,-299.86,0.999521
1128,-299.86,0.999521
1129,-299.86,0.999522
1130,-299.86,0.999522
1131,-299.86,0.999523
1132,-299.86,0.999523
1133,-299.861,0.999523
1134,-299.861,0.999524
1135,-299.861,0.999524
1136,-299.861,0.999525
1137,-299.861,0.999525
1138,-299.861,0.999525
1139,-299.861,0.999526
1140,-299.861,0.999526
1141,-299.862,0.999527
1142,-299.862,0.999527
1143,-299.862,0.999528
1144,-299.862,0.999528
1145,-299.862,0.999528
1146,-299.862,0.999529
1147,-299.862,0.999529
1148,-299.862,0.99953
1149,-299.862,0.99953
1150,-299.863,0.99953
